playerID,teams
alvorbi01,"['SL5', 'KC2', 'TL2', 'CL4', 'WS9']"
alyeabr01,"['WS2', 'MIN', 'OAK', 'SLN']"
alzolad01,['CHN']
amalfjo01,"['NY1', 'SFN', 'HOU', 'CHN']"
amarari01,"['SEA', 'BAL']"
amarial01,"['LAA', 'SDN', 'COL']"
amaroru01,"['SLN', 'PHI', 'NYA', 'CAL']"
amaroru02,"['CAL', 'PHI', 'CLE']"
amblewa01,['PHA']
ambrech01,"['KCA', 'NYN', 'SDN']"
ambrihe01,"['CLE', 'HOU', 'SDN']"
amburtr01,['NYA']
amelued01,['LAN']
amesre01,"['NY1', 'CIN', 'SLN', 'PHI']"
amesst01,['MIA']
amezaal01,"['ANA', 'COL', 'PIT', 'FLO']"
amoledo01,"['BLN', 'WAS']"
amorosa01,"['BRO', 'LAN', 'DET']"
amorvi01,"['CHN', 'CIN']"
anckewa01,['PHA']
anderal01,['PIT']
anderal02,['MIN']
anderan01,['SLA']
anderbi01,['BSN']
anderbo01,"['CHN', 'DET']"
anderbr01,"['BOS', 'BAL', 'CLE']"
anderbr02,"['CAL', 'CLE', 'ARI', 'KCA']"
anderbr03,"['CHA', 'BOS']"
anderbr04,"['OAK', 'COL', 'LAN', 'CHN', 'TOR', 'MIL']"
anderbr05,"['SLN', 'CHA', 'OAK']"
anderbr06,['MIA']
anderbu01,['CLE']
anderch01,"['ARI', 'MIL', 'TOR', 'PHI', 'CIN']"
anderco01,['CLE']
andercr01,"['SLN', 'NYN']"
anderda01,"['PHI', 'PIT']"
anderda02,"['LAN', 'SFN']"
anderdr01,['MIL']
anderdr02,"['PHI', 'CHA', 'TEX']"
anderdw01,"['OAK', 'SLN', 'SDN', 'CLE']"
anderfe01,"['BRO', 'SLN']"
anderfr01,"['BOS', 'BUF', 'NY1']"
anderga01,"['CAL', 'ANA', 'LAA', 'ATL', 'LAN']"
anderge01,"['BRF', 'SLN']"
andergo01,['PIT']
anderha01,['CHA']
anderha02,"['PHI', 'CIN']"
anderia01,['ATL']
anderja01,"['NYA', 'NYN', 'CLE']"
anderji01,"['CAL', 'SEA', 'TEX']"
anderji02,"['PIT', 'CIN', 'CHN', 'BOS']"
anderjo01,"['BRO', 'WAS', 'MLA', 'SLA', 'NYA', 'WS1', 'CHA']"
anderjo02,"['PHI', 'BAL', 'SLN', 'HOU']"
anderjo03,"['HOU', 'ATL', 'DET', 'KCA']"
anderju01,['LAA']
anderke01,['CAL']
anderla01,"['ML4', 'CHA']"
anderla02,"['CLE', 'SEA', 'PHI', 'HOU', 'BOS', 'SDN']"
anderla03,['BOS']
anderma01,"['DET', 'COL']"
anderma02,"['PHI', 'TBA', 'SLN', 'NYN', 'WAS', 'LAN']"
andermi01,"['PHI', 'SLN', 'BAL']"
andermi02,['CIN']
anderni01,"['MIA', 'TBA']"
anderre01,['WS1']
anderri01,"['NYA', 'SEA']"
anderri02,"['NYN', 'KCA']"
andersc01,"['TEX', 'MON', 'KCA']"
andersh01,"['SFN', 'MIN', 'BAL', 'SDN', 'TOR']"
andersp01,['PHI']
anderta01,"['PIT', 'OAK']"
anderti01,['CHA']
anderty01,"['COL', 'SFN', 'PIT', 'SEA', 'LAN']"
anderva01,"['IN3', 'WAS']"
anderwa01,['PHA']
anderwi01,['CIN']
andinro01,"['FLO', 'BAL', 'SEA', 'MIA']"
andrast01,['KCA']
andrecl01,['TOR']
andreed01,"['PHI', 'IN3', 'BRP', 'CN3']"
andreel01,['PHA']
andreer01,['BOS']
andrefr01,['PHI']
andrehu01,['NY1']
andreiv01,"['NYA', 'BOS', 'SLA', 'CLE']"
